dest	src	nlq	lq	cost
10.63.19.33	10.63.76.33	0.615	0.701	2.313
10.63.75.33	10.63.76.33	1.000	1.000	1.000
10.63.194.1	10.63.76.33	0.678	0.450	3.268
10.63.1.1	10.63.83.33	1.000	1.000	1.000
10.63.86.33	10.63.83.33	1.000	1.000	1.000
10.63.53.33	10.63.86.33	0.662	0.392	3.847
10.63.83.33	10.63.86.33	1.000	1.000	1.000
10.63.1.1	10.63.89.129	1.000	1.000	1.000
10.63.19.33	10.63.89.129	0.847	0.956	1.233
10.63.194.1	10.63.89.129	0.964	0.757	1.369
10.63.1.97	10.63.93.33	0.917	0.341	3.193
10.63.94.33	10.63.93.33	1.000	1.000	1.000
10.63.1.97	10.63.94.33	0.913	0.234	4.650
10.63.93.33	10.63.94.33	1.000	1.000	1.000
10.63.2.33	10.63.99.33	1.000	1.000	1.000
10.63.1.1	10.63.104.33	1.000	1.000	1.000
10.63.1.1	10.63.106.33	1.000	1.000	1.000
10.63.29.33	10.63.106.33	0.729	0.792	1.730
10.63.141.33	10.63.106.33	0.223	0.478	9.351
10.63.40.33	10.63.110.33	0.979	0.979	1.040
10.63.43.33	10.63.110.33	1.000	0.940	1.063
10.63.145.97	10.63.110.33	1.000	1.000	1.000
10.63.154.33	10.63.110.33	0.784	0.693	1.836
10.63.1.1	10.63.111.33	1.000	1.000	1.000
10.63.45.33	10.63.111.33	1.000	1.000	1.000
10.63.1.1	10.63.116.33	1.000	1.000	1.000
10.63.1.97	10.63.123.33	0.792	0.670	1.882
10.63.1.1	10.63.134.33	1.000	1.000	1.000
10.63.106.33	10.63.141.33	0.478	0.255	8.199
10.63.40.33	10.63.145.97	1.000	1.000	1.000
10.63.43.33	10.63.145.97	1.000	0.921	1.085
10.63.110.33	10.63.145.97	1.000	1.000	1.000
10.63.63.33	10.63.148.33	0.874	0.882	1.296
10.63.64.33	10.63.148.33	0.788	0.717	1.768
10.63.66.33	10.63.148.33	0.510	0.646	3.031
10.63.149.33	10.63.148.33	1.000	1.000	1.000
10.63.63.33	10.63.149.33	0.356	0.792	3.537
10.63.66.33	10.63.149.33	0.199	0.772	6.472
10.63.148.33	10.63.149.33	1.000	1.000	1.000
10.63.151.33	10.63.150.33	0.458	0.600	3.632
10.63.152.33	10.63.150.33	1.000	1.000	1.000
10.63.74.33	10.63.151.33	0.964	0.960	1.078
10.63.150.33	10.63.151.33	0.600	0.431	3.863
10.63.152.33	10.63.151.33	1.000	1.000	1.000
10.63.153.33	10.63.151.33	0.901	0.960	1.153
10.63.74.33	10.63.152.33	0.435	0.458	5.007
10.63.150.33	10.63.152.33	1.000	1.000	1.000
10.63.151.33	10.63.152.33	1.000	1.000	1.000
10.63.153.33	10.63.152.33	0.678	0.921	1.599
10.63.151.33	10.63.153.33	0.960	0.870	1.195
10.63.152.33	10.63.153.33	0.921	0.674	1.608
10.63.40.33	10.63.154.33	0.788	0.438	2.888
10.63.43.33	10.63.154.33	0.964	0.670	1.545
10.63.110.33	10.63.154.33	0.713	0.784	1.786
10.63.1.1	10.63.156.33	1.000	1.000	1.000
10.63.19.97	10.63.156.33	0.678	0.497	2.959
10.63.23.97	10.63.156.33	0.646	0.294	5.254
10.63.1.1	10.63.157.33	1.000	1.000	1.000
10.63.173.33	10.63.158.33	0.744	0.804	1.669
10.63.166.33	10.63.162.33	0.862	1.000	1.158
10.63.17.33	10.63.164.33	0.886	0.796	1.417
10.63.23.33	10.63.164.33	0.697	0.662	2.161
10.63.73.33	10.63.164.33	0.615	0.497	3.261
10.63.1.1	10.63.165.33	1.000	1.000	1.000
10.63.1.1	10.63.166.33	1.000	1.000	1.000
10.63.162.33	10.63.166.33	1.000	0.862	1.158
10.63.17.33	10.63.168.33	1.000	0.835	1.196
10.63.23.33	10.63.168.33	0.964	0.905	1.144
10.63.52.33	10.63.168.33	1.000	1.000	1.000
10.63.73.33	10.63.168.33	1.000	1.000	1.000
10.63.1.1	10.63.170.33	1.000	1.000	1.000
10.63.1.1	10.63.173.33	1.000	1.000	1.000
10.63.158.33	10.63.173.33	0.804	0.753	1.651
10.63.20.33	10.63.175.33	0.937	1.000	1.066
10.63.30.33	10.63.175.33	0.557	0.286	6.272
10.63.1.1	10.63.178.33	1.000	1.000	1.000
10.63.1.1	10.63.180.33	1.000	1.000	1.000
10.63.19.33	10.63.194.1	0.744	0.940	1.426
10.63.75.33	10.63.194.1	0.403	0.454	5.441
10.63.76.33	10.63.194.1	0.478	0.678	3.080
10.63.89.129	10.63.194.1	0.792	0.983	1.282
10.63.2.33	10.63.222.33	1.000	1.000	1.000
10.63.6.97	10.63.222.33	1.000	1.000	1.000
10.63.7.97	10.63.222.33	0.141	0.172	41.051
10.63.8.97	10.63.222.33	0.929	0.944	1.138
10.63.10.97	10.63.222.33	0.960	0.929	1.119
10.63.25.97	10.63.222.33	0.596	0.689	2.430
10.63.29.97	10.63.222.33	0.427	0.388	6.025
10.63.34.97	10.63.222.33	1.000	1.000	1.000
10.63.35.97	10.63.222.33	1.000	1.000	1.000
10.63.246.33	10.63.245.33	1.000	0.925	1.080
10.63.14.97	10.63.246.33	1.000	1.000	1.000
10.63.245.33	10.63.246.33	0.925	1.000	1.080

